Date,Product_Category,Region,Units_Sold,Revenue,Cost,Profit,Marketing_Spend,Customer_Satisfaction,Month
2020-12-20,Furniture,North,97,33286.16,19807.05,13479.110000000004,2880.68,80.65,12
2027-05-09,Clothing,West,83,4378.8,2381.63,1997.17,2015.94,57.05,5
2025-09-07,Furniture,North,107,28491.02,22791.41,5699.610000000001,1004.76,93.1,9
2024-03-10,Furniture,West,104,36293.88,20257.3,16036.579999999998,1879.95,89.35,3
2021-01-17,Furniture,South,116,33747.42,21309.28,12438.14,5685.48,89.7,1
2020-05-17,Electronics,East,95,37367.62,33128.53,4239.090000000004,4203.38,77.24,5
2022-08-14,Electronics,North,96,51818.1,36318.08,15500.019999999997,557.53,56.31,8
2019-05-26,Electronics,North,111,50094.1,40635.15,9458.949999999997,1831.19,97.33,5
2020-12-20,Clothing,South,109,6312.51,3394.22,2918.2900000000004,3281.9,77.63,12
2021-05-02,Office Supplies,East,112,4359.73,2604.86,1754.8699999999994,1983.45,69.54,5
2027-12-12,Furniture,West,86,24462.52,19277.18,5185.34,2178.07,69.87,12
2023-02-12,Furniture,East,90,26656.75,16421.07,10235.68,1242.22,59.34,2
2025-05-04,Clothing,South,100,4871.23,2781.16,2090.0699999999997,3908.67,63.82,5
2027-10-17,Furniture,South,106,35137.9,18273.25,16864.65,1464.16,94.85,10
2020-09-06,Electronics,East,91,32943.83,35236.85,-2293.019999999997,2739.27,58.3,9
2026-02-22,Office Supplies,West,98,3306.26,2767.95,538.3100000000004,4446.59,58.44,2
2020-11-29,Food,West,115,2885.04,1171.02,1714.02,747.76,68.18,11
2025-11-23,Furniture,North,105,33962.67,22192.14,11770.529999999999,2004.69,89.93,11
2021-11-28,Electronics,West,101,52217.59,33432.38,18785.21,1957.89,99.42,11
2021-07-04,Food,East,100,1788.46,995.9,792.5600000000001,3763.33,66.15,7
2021-11-14,Office Supplies,South,97,3545.57,2513.16,1032.4100000000003,3483.15,54.65,11
2024-12-01,Food,North,107,2027.86,935.48,1092.3799999999999,5222.2,66.84,12
2023-12-10,Electronics,North,87,45604.41,29733.16,15871.250000000004,868.58,87.98,12
2025-08-03,Food,South,93,1613.0,1030.74,582.26,1529.34,90.96,8
2028-06-04,Clothing,West,92,4632.1,3047.6,1584.5000000000005,1471.57,55.65,6
2026-12-06,Food,South,100,2048.73,954.09,1094.6399999999999,2390.53,95.27,12
2024-08-18,Furniture,West,111,30689.16,23551.18,7137.98,3620.82,71.78,8
2026-05-24,Furniture,South,108,37527.29,22709.15,14818.14,4458.11,92.19,5
2022-09-04,Clothing,East,96,4565.23,2965.63,1599.5999999999995,1840.45,50.19,9
2027-07-04,Electronics,West,90,40845.9,33087.03,7758.870000000003,3103.89,99.59,7
2024-04-21,Furniture,East,108,35211.82,20783.33,14428.489999999998,1587.48,68.02,4
2022-01-30,Office Supplies,North,111,5087.33,2631.9,2455.43,5068.52,61.64,1
2027-10-24,Furniture,South,117,36090.55,25146.95,10943.600000000002,5187.8,50.01,10
2025-01-05,Furniture,North,103,29727.87,18254.34,11473.529999999999,2274.0,61.34,1
2019-06-02,Electronics,North,97,43883.53,32919.22,10964.309999999998,2286.7,90.12,6
2023-11-05,Food,North,87,1674.29,868.57,805.7199999999999,2084.95,51.36,11
2023-07-09,Furniture,North,93,29409.03,20245.64,9163.39,3978.14,99.09,7
2025-08-10,Clothing,South,89,4896.43,3219.18,1677.2500000000005,2961.09,76.63,8
2019-12-08,Food,North,88,1623.34,1064.03,559.31,1305.04,56.01,12
2028-02-06,Office Supplies,South,99,3912.53,2420.89,1491.6400000000003,700.48,78.36,2
2020-02-16,Electronics,South,96,51983.82,31742.47,20241.35,800.72,61.32,2
2022-04-03,Office Supplies,East,106,4517.98,3054.85,1463.1299999999997,837.62,93.86,4
2028-02-13,Food,West,99,1909.29,1068.64,840.6499999999999,2011.51,99.45,2
2022-08-07,Food,West,82,1731.7,1004.74,726.96,3502.78,64.26,8
2027-11-21,Food,South,129,2160.49,1226.03,934.4599999999998,5226.08,78.67,11
2024-03-10,Office Supplies,East,85,2983.18,2292.04,691.1399999999999,1267.36,74.42,3
2022-08-21,Food,South,109,2219.59,1276.3,943.2900000000002,705.13,93.43,8
2027-07-18,Office Supplies,South,101,3587.35,2497.24,1090.1100000000001,2054.01,58.24,7
2022-05-08,Food,South,104,2377.89,1011.76,1366.1299999999999,3513.35,83.82,5
2027-07-18,Clothing,East,107,5155.94,3048.67,2107.2699999999995,4323.2,98.54,7
2019-12-22,Food,West,104,1893.63,943.19,950.44,2733.16,99.19,12
2025-12-21,Office Supplies,East,78,2925.44,1647.99,1277.45,3519.09,50.15,12
2020-01-19,Furniture,North,99,30015.35,18870.29,11145.059999999998,4537.38,61.94,1
2023-09-03,Food,East,86,1289.69,728.14,561.5500000000001,2260.4,81.13,9
2025-02-16,Furniture,East,90,20202.93,15390.11,4812.82,2370.87,79.54,2
2021-07-04,Clothing,East,98,5467.92,2975.61,2492.31,708.28,91.67,7
2028-04-16,Electronics,East,107,50905.43,40354.04,10551.39,2763.63,71.93,4
2024-11-17,Clothing,West,99,4706.29,2571.16,2135.13,692.75,63.89,11
2021-08-01,Food,North,104,1959.2,1128.79,830.4100000000001,4349.21,76.58,8
2019-05-26,Furniture,West,96,29362.68,21105.52,8257.16,608.17,83.77,5
2025-04-20,Furniture,West,99,29509.71,18631.25,10878.46,4635.6,58.26,4
2022-03-13,Office Supplies,East,101,4638.15,2345.89,2292.2599999999998,4514.87,83.55,3
